Time,T_air_in,RH_air_in,GHI_in
20/02/2024 00:00:00,17.6105069444444,69.6689861111111,134.288466666667
21/02/2024 00:00:00,13.1375069444444,73.9053680555555,48.3333024
22/02/2024 00:00:00,14.3915555555556,84.3674930555556,72.6958996865203
23/02/2024 00:00:00,17.3305208333333,74.9049097222222,95.3565674846625
24/02/2024 00:00:00,17.7536944444444,74.6556736111111,120.390701923077
25/02/2024 00:00:00,16.153375,78.5997916666667,48.9702650231125
26/02/2024 00:00:00,16.7905486111111,75.874875,96.4353379844961
27/02/2024 00:00:00,18.8808402777778,68.666125,126.672756838906
28/02/2024 00:00:00,20.6065902777778,64.9113819444444,172.041190909091
29/02/2024 00:00:00,18.4865,69.8873263888889,91.2448675078865
01/03/2024 00:00:00,14.9502291666667,84.0913958333333,55.2434757118928
